n_geometries,n_runs,target,overall_mse,overall_r2,overall_mape,setA_mse,setA_r2,setA_mape,setB_mse,setB_r2,setB_mape,setA_4G_r2,setA_4G_mse,setA_4G_mape,setA_3G1P_r2,setA_3G1P_mse,setA_3G1P_mape,setA_3G1B_r2,setA_3G1B_mse,setA_3G1B_mape,setA_2G2P_r2,setA_2G2P_mse,setA_2G2P_mape,setA_2G2B_r2,setA_2G2B_mse,setA_2G2B_mape,setA_2G1P1B_r2,setA_2G1P1B_mse,setA_2G1P1B_mape,setB_4G_r2,setB_4G_mse,setB_4G_mape,setB_3G1P_r2,setB_3G1P_mse,setB_3G1P_mape,setB_3G1B_r2,setB_3G1B_mse,setB_3G1B_mape,setB_2G2P_r2,setB_2G2P_mse,setB_2G2P_mape,setB_2G2B_r2,setB_2G2B_mse,setB_2G2B_mape,setB_2G1P1B_r2,setB_2G1P1B_mse,setB_2G1P1B_mape,setC_mse,setC_r2,setC_mape,setC_4G_r2,setC_4G_mse,setC_4G_mape,setC_3G1P_r2,setC_3G1P_mse,setC_3G1P_mape,setC_3G1B_r2,setC_3G1B_mse,setC_3G1B_mape,setC_2G2P_r2,setC_2G2P_mse,setC_2G2P_mape,setC_2G2B_r2,setC_2G2B_mse,setC_2G2B_mape,setC_2G1P1B_r2,setC_2G1P1B_mse,setC_2G1P1B_mape,status
13,429,epithermal_only,0.0008185617,0.918401,4.88326826%,0.0008663041,0.914477,5.07280555,0.0003820599,0.901694,3.15035589,0.917402,0.0007076013,4.55813043,0.916884,0.0007908674,4.80937759,0.917034,0.0007875532,4.80047274,0.914050,0.0008988019,5.18055130,0.912906,0.0009010517,5.21272700,0.913727,0.0008973025,5.17044846,0.892566,0.0003805071,3.15524447,0.900514,0.0003748168,3.09125146,0.903063,0.0003699479,3.09990152,0.902140,0.0003811383,3.14017974,0.902781,0.0003818856,3.19383976,0.901313,0.0003891890,3.16981426,0.0008613692,0.915602,5.18553681,0.909356,0.0008089779,4.95376675,0.921571,0.0007662790,4.79648036,0.919980,0.0007618683,4.84949667,0.915271,0.0008910768,5.26981598,0.912641,0.0009179207,5.34097322,0.914322,0.0008874838,5.32675579,done
13,429,fast_only,0.0009948957,0.927754,4.58744895%,0.0010714969,0.924578,4.81262970,0.0002945415,0.928626,2.52865349,0.962675,0.0004253407,3.36623683,0.941344,0.0007773390,4.15093103,0.940291,0.0007822062,4.16418055,0.920158,0.0011740156,5.07635913,0.916974,0.0011992389,5.10579411,0.917320,0.0012046959,5.09143146,0.928635,0.0002467761,2.41330662,0.927918,0.0002854922,2.56064679,0.928231,0.0002793768,2.53729239,0.928703,0.0002997109,2.51007327,0.929228,0.0002896623,2.46026864,0.925961,0.0003064481,2.56820418,0.0014217669,0.897568,5.40461980,0.958522,0.0005094320,3.87247547,0.920016,0.0010738044,4.66837116,0.917673,0.0010540652,4.71655334,0.895281,0.0014991305,5.56720532,0.889398,0.0015738433,5.74879719,0.884150,0.0016218806,5.75411010,done
13,429,keff,0.0000030333,0.233482,0.12518548%,0.0000030367,0.205774,0.12603118,0.0000030020,0.412825,0.11745330,0.285679,0.0000018572,0.09980546,0.183094,0.0000025773,0.11375315,0.161271,0.0000027090,0.11756141,0.148375,0.0000030597,0.12576240,0.044268,0.0000035681,0.13972476,0.150299,0.0000031203,0.12842019,0.411625,0.0000023608,0.12368303,0.523356,0.0000020401,0.10140009,0.480481,0.0000021040,0.10125543,0.406292,0.0000029422,0.11184781,0.010800,0.0000041596,0.14445217,0.316831,0.0000031265,0.11698784,0.0000030622,0.206236,0.12657007,0.310372,0.0000017507,0.09639142,0.224668,0.0000022925,0.10791091,0.179461,0.0000025481,0.11287538,0.167779,0.0000030364,0.12767436,0.041215,0.0000037464,0.14403695,0.139029,0.0000032707,0.13059228,done
13,429,thermal_only,0.0046248802,0.946070,10.70477183%,0.0048557767,0.944323,11.03286205,0.0025138270,0.951514,7.70508976,0.953872,0.0047791078,11.17295664,0.949136,0.0047600458,10.97391185,0.953312,0.0046498648,10.91208252,0.936366,0.0049435675,10.98184116,0.941203,0.0050163983,11.30387781,0.940884,0.0048385071,10.97109999,0.843963,0.0037726911,9.57645278,0.933457,0.0029409506,8.33321284,0.947104,0.0027987347,8.19628416,0.948630,0.0022976874,7.13197930,0.954400,0.0025086219,8.02447773,0.954579,0.0022822501,7.30289827,0.0053273592,0.936304,12.33915983,0.953064,0.0050531116,11.85983078,0.942920,0.0052656123,12.11768747,0.945517,0.0052139361,12.11174851,0.925778,0.0055727865,12.69093530,0.937474,0.0051324710,12.01899611,0.930145,0.0053834090,12.51305778,done
13,429,total,0.0001665689,0.969715,2.25340148%,0.0001785452,0.967841,2.34673460,0.0000570718,0.975912,1.40007011,0.981635,0.0000845168,1.69935870,0.972274,0.0001465900,2.10609610,0.973117,0.0001354338,2.06519520,0.966402,0.0002001950,2.48757508,0.965897,0.0001862273,2.41467958,0.965609,0.0001967371,2.47034915,0.979064,0.0000456504,1.16551262,0.977339,0.0000522386,1.30754074,0.978358,0.0000492444,1.28330134,0.973400,0.0000646951,1.50648782,0.975251,0.0000583787,1.47178291,0.975997,0.0000577785,1.40031737,0.0002589262,0.954330,2.86285068,0.982998,0.0000821732,1.64066851,0.966104,0.0001848071,2.39561375,0.964809,0.0001796373,2.46210262,0.954540,0.0002761708,2.93042134,0.949640,0.0002843128,3.02351932,0.947630,0.0003035245,3.14024402,done
26,858,epithermal_only,0.0001984777,0.980214,2.23524034%,0.0002146162,0.978846,2.34257758,0.0000509264,0.986558,1.25387130,0.990219,0.0000842649,1.52881688,0.983142,0.0001607821,1.98538353,0.983258,0.0001592902,2.00076571,0.976921,0.0002416627,2.51550863,0.977003,0.0002382471,2.53150801,0.977288,0.0002365267,2.46246219,0.993876,0.0000209274,0.85606011,0.988845,0.0000408776,1.12288271,0.988890,0.0000412314,1.11393756,0.986351,0.0000518461,1.27518038,0.984818,0.0000583769,1.34768669,0.985476,0.0000558224,1.31976745,0.0003225657,0.968435,2.82610804,0.989753,0.0000921251,1.62813787,0.979324,0.0002025442,2.19663205,0.978530,0.0002045366,2.33368012,0.969156,0.0003248941,2.82771733,0.962221,0.0003974678,3.18536090,0.963091,0.0003825675,3.11980526,done
26,858,fast_only,0.0005726954,0.958356,3.36345838%,0.0006106328,0.956989,3.45671966,0.0002258392,0.943561,2.51078383,0.988858,0.0001268005,1.87311050,0.969648,0.0004021765,2.77685590,0.969081,0.0004049644,2.77143205,0.952549,0.0006972488,3.77391347,0.951841,0.0006951428,3.74821382,0.951678,0.0007034308,3.73939356,0.941561,0.0001851284,2.27355883,0.944873,0.0002072724,2.41671776,0.944269,0.0002063595,2.39333785,0.941586,0.0002388655,2.57658131,0.946288,0.0002154917,2.44248243,0.940503,0.0002405744,2.60230854,0.0009144864,0.933866,4.37558103,0.989034,0.0001351526,2.02040891,0.956059,0.0005887901,3.36205215,0.959112,0.0005208522,3.30158070,0.930954,0.0009850101,4.58000901,0.924122,0.0010755409,4.81159687,0.920784,0.0011036329,4.94811426,done
26,858,keff,0.0000021290,0.462010,0.10402727%,0.0000022116,0.421569,0.10673803,0.0000013731,0.731432,0.07924314,0.520499,0.0000012467,0.08053188,0.409826,0.0000018620,0.09507356,0.407793,0.0000019127,0.09718251,0.358573,0.0000023045,0.10965759,0.302350,0.0000026046,0.11836957,0.383109,0.0000022654,0.10871966,0.575090,0.0000017049,0.09746402,0.733694,0.0000011398,0.07413279,0.690790,0.0000012523,0.07963412,0.736021,0.0000013082,0.07518761,0.597220,0.0000016937,0.09083498,0.708159,0.0000013356,0.07552970,0.0000023818,0.382598,0.11150454,0.487875,0.0000013001,0.08321583,0.408570,0.0000017488,0.09525537,0.376960,0.0000019348,0.09840568,0.333523,0.0000024317,0.11594826,0.253611,0.0000029165,0.12590549,0.331338,0.0000025401,0.11423006,done
26,858,thermal_only,0.0021589097,0.974654,7.02813332%,0.0022583535,0.973972,7.20083778,0.0012497089,0.974845,5.44912108,0.988972,0.0010918374,5.02406387,0.980990,0.0017546528,6.24110526,0.981810,0.0017929844,6.31238812,0.968168,0.0024596100,7.63492726,0.969789,0.0025706519,7.84953868,0.970308,0.0024218091,7.45690115,0.883349,0.0022224023,7.07780423,0.966500,0.0013424694,5.86846809,0.972765,0.0013500867,5.71573112,0.972728,0.0011575988,5.31535476,0.976993,0.0012354376,5.56752452,0.976262,0.0011574625,5.09242657,0.0031760234,0.961777,8.94365127,0.982496,0.0018222916,6.25955567,0.972749,0.0024829424,7.70170846,0.972125,0.0026319072,7.89019726,0.958249,0.0031132073,8.89166385,0.955298,0.0036514344,9.88210722,0.954450,0.0034953082,9.48996211,done
26,858,total,0.0001203223,0.978128,1.83800941%,0.0001260544,0.977291,1.88352791,0.0000679143,0.971293,1.42184028,0.985613,0.0000665813,1.39400025,0.980087,0.0001053628,1.69229370,0.981664,0.0000924196,1.61597070,0.974435,0.0001522416,2.08487100,0.976735,0.0001269782,1.93747688,0.976295,0.0001355638,1.94960632,0.979448,0.0000450117,1.02705634,0.973724,0.0000605369,1.28732056,0.975940,0.0000547835,1.23693474,0.968790,0.0000757599,1.54065664,0.971089,0.0000681188,1.47900851,0.969772,0.0000726338,1.47322172,0.0001468697,0.974095,2.07174301,0.984899,0.0000732165,1.47797481,0.975570,0.0001332882,1.92116274,0.979723,0.0001032978,1.78061555,0.971074,0.0001757547,2.23470827,0.975745,0.0001366939,2.03762841,0.971948,0.0001627244,2.20419758,done
39,1287,epithermal_only,0.0001985643,0.980206,2.31226251%,0.0002111395,0.979194,2.39232989,0.0000835910,0.977975,1.58021783,0.991303,0.0000748493,1.57476928,0.983672,0.0001557575,2.06518574,0.983633,0.0001557553,2.06950920,0.977379,0.0002369363,2.55758332,0.977502,0.0002331201,2.53919356,0.977390,0.0002355304,2.52105635,0.984639,0.0000536685,1.37102886,0.980382,0.0000721955,1.49465438,0.980079,0.0000742493,1.51683622,0.978033,0.0000835824,1.58507721,0.977742,0.0000855667,1.59280754,0.976073,0.0000920134,1.63857407,0.0003584146,0.964953,3.17975821,0.990289,0.0000874651,1.68650228,0.974391,0.0002510485,2.72008574,0.979602,0.0001944091,2.34235977,0.958387,0.0004386461,3.48819285,0.967845,0.0003384589,3.03359833,0.957439,0.0004413874,3.65582649,done
39,1287,fast_only,0.0004982823,0.963870,3.01457633%,0.0005369848,0.962241,3.12836484,0.0001444314,0.965570,1.97422426,0.990877,0.0001040486,1.66673975,0.973591,0.0003505640,2.49841494,0.972985,0.0003544747,2.51238801,0.958572,0.0006096218,3.40631783,0.957029,0.0006212095,3.43466294,0.957655,0.0006176088,3.37335030,0.967937,0.0001096590,1.79085251,0.969310,0.0001225078,1.83609345,0.968084,0.0001251928,1.85132772,0.963227,0.0001569164,2.06140387,0.965335,0.0001449687,1.96270644,0.963461,0.0001545386,2.03868346,0.0007115387,0.948605,3.69460545,0.990103,0.0001216562,1.83359996,0.964690,0.0004737270,2.98968804,0.968551,0.0004012888,2.79722828,0.947388,0.0007516451,3.89140330,0.936670,0.0008984469,4.21199031,0.940510,0.0008300377,4.02720789,done
39,1287,keff,0.0000017397,0.560390,0.09486464%,0.0000018028,0.528491,0.09704217,0.0000011621,0.772705,0.07495581,0.629827,0.0000009625,0.07044239,0.512457,0.0000015382,0.08813815,0.532756,0.0000015091,0.08745926,0.460410,0.0000019386,0.10116424,0.432345,0.0000021193,0.10726599,0.500883,0.0000018329,0.09824817,0.746034,0.0000010190,0.07680329,0.798163,0.0000008639,0.06429720,0.800594,0.0000008076,0.06357052,0.782324,0.0000010787,0.06946323,0.613071,0.0000016271,0.09329565,0.737626,0.0000012008,0.07572620,0.0000019301,0.499692,0.09971472,0.587220,0.0000010479,0.07325126,0.502183,0.0000014720,0.08649480,0.498657,0.0000015568,0.08852910,0.452117,0.0000019990,0.10383377,0.390001,0.0000023835,0.11343767,0.468286,0.0000020199,0.10114146,done
39,1287,thermal_only,0.0022118483,0.974113,6.63469145%,0.0022756288,0.973850,6.72590107,0.0016287130,0.967027,5.80077501,0.988607,0.0011268644,4.63560375,0.981746,0.0016921330,5.69937952,0.981918,0.0017885085,5.85689429,0.968756,0.0024229723,7.03304126,0.969863,0.0025715940,7.27076019,0.969341,0.0025065768,7.10593562,0.843526,0.0029582344,7.41761811,0.950669,0.0019502253,6.28555619,0.960748,0.0019275146,6.23822891,0.967668,0.0013666998,5.42091381,0.972644,0.0014678457,5.70680561,0.968576,0.0015225886,5.59554169,0.0031066727,0.962633,8.40782741,0.981175,0.0019525937,5.82437502,0.974052,0.0023595105,7.02954324,0.973549,0.0024929834,7.30896272,0.958417,0.0031043093,8.56284135,0.954754,0.0037016071,9.40524888,0.956242,0.0033604952,8.87332421,done
39,1287,total,0.0000934237,0.983092,1.63895674%,0.0000964783,0.982729,1.67909702,0.0000654956,0.972425,1.27195989,0.988503,0.0000536665,1.32023480,0.984806,0.0000809009,1.51495535,0.985775,0.0000723256,1.47286051,0.980748,0.0001152470,1.83628495,0.981974,0.0000991386,1.74148321,0.982164,0.0001025749,1.72267456,0.981454,0.0000405543,1.13006308,0.976794,0.0000536258,1.16283422,0.975838,0.0000552044,1.14936575,0.971876,0.0000684896,1.32933103,0.969540,0.0000720781,1.33303076,0.970915,0.0000701729,1.30180356,0.0001281107,0.977542,1.94448846,0.988316,0.0000573087,1.38379245,0.980049,0.0001096280,1.84627494,0.983725,0.0000836421,1.60783891,0.974337,0.0001566865,2.17154484,0.976900,0.0001311615,1.98475816,0.976123,0.0001392009,2.00265865,done
52,1716,epithermal_only,0.0001748111,0.982571,2.06652901%,0.0001850397,0.981748,2.13869140,0.0000812921,0.978575,1.40675856,0.993123,0.0000592553,1.32259540,0.985675,0.0001364788,1.80964899,0.985962,0.0001334424,1.80155909,0.979787,0.0002114963,2.32943480,0.979983,0.0002072340,2.29360636,0.980344,0.0002045825,2.25592847,0.987544,0.0000425858,1.02058619,0.981947,0.0000660591,1.26035011,0.982141,0.0000663193,1.26597596,0.977658,0.0000852058,1.46106835,0.976794,0.0000892855,1.47555610,0.976982,0.0000886328,1.47311627,0.0003207532,0.968612,2.87428622,0.992522,0.0000675348,1.46033440,0.980311,0.0001928491,2.22110566,0.979226,0.0001979618,2.35543870,0.967184,0.0003456388,2.97014438,0.964361,0.0003749269,3.09721659,0.962763,0.0003859599,3.22378617,done
52,1716,fast_only,0.0005106578,0.962926,3.03957803%,0.0005521969,0.961136,3.16445206,0.0001308713,0.969192,1.89787262,0.990874,0.0001040379,1.64668438,0.972985,0.0003583327,2.51250916,0.972214,0.0003643140,2.52387623,0.957001,0.0006321472,3.48195735,0.955530,0.0006422404,3.48301412,0.956640,0.0006317957,3.40373861,0.978263,0.0000748182,1.48322190,0.975901,0.0000971074,1.66143297,0.974358,0.0001011565,1.68415006,0.967256,0.0001421042,1.99061331,0.965699,0.0001447721,2.00732207,0.966394,0.0001441352,1.98138586,0.0006980466,0.949604,3.64025288,0.991029,0.0001105670,1.80134523,0.965230,0.0004663363,2.88589207,0.968029,0.0004077511,2.77058250,0.943292,0.0008101962,3.93541901,0.944869,0.0007833371,3.96097547,0.941087,0.0008224467,4.02740031,done
52,1716,keff,0.0000013390,0.661632,0.08244291%,0.0000013829,0.638315,0.08424834,0.0000009377,0.816600,0.06593616,0.694578,0.0000007941,0.06450501,0.623499,0.0000011878,0.07646068,0.648076,0.0000011367,0.07544684,0.588539,0.0000014783,0.08736441,0.537175,0.0000017279,0.09653806,0.629950,0.0000013589,0.08372043,0.736655,0.0000010567,0.07894187,0.820196,0.0000007696,0.06018358,0.829582,0.0000006902,0.06036837,0.797588,0.0000010031,0.06464723,0.700294,0.0000012603,0.08092054,0.809408,0.0000008723,0.06177808,0.0000015079,0.609147,0.08758816,0.642702,0.0000009070,0.06943580,0.621271,0.0000011198,0.07543785,0.614338,0.0000011976,0.07691232,0.566473,0.0000015817,0.09179478,0.494601,0.0000019748,0.10263964,0.599765,0.0000015204,0.08708553,done
52,1716,thermal_only,0.0019629492,0.977041,6.33904150%,0.0020252041,0.976741,6.42554768,0.0013937620,0.971782,5.54812783,0.990228,0.0009631498,4.39116523,0.984204,0.0014645722,5.36546262,0.984108,0.0015728910,5.54284966,0.971713,0.0021933424,6.80053907,0.972258,0.0023670578,7.16217502,0.973167,0.0021963609,6.68686455,0.838537,0.0030419471,7.82815275,0.957607,0.0016808534,5.92193183,0.967491,0.0016035712,5.76723655,0.971170,0.0012150135,5.35972911,0.976901,0.0012372858,5.54194316,0.974042,0.0012583920,5.25777988,0.0027711211,0.966693,7.81867155,0.985215,0.0015269274,5.36141454,0.976708,0.0021194463,6.59926699,0.976713,0.0021938994,6.70727466,0.961907,0.0028451655,8.04201416,0.961380,0.0031605312,8.61312261,0.960294,0.0030530509,8.29215575,done
52,1716,total,0.0000786830,0.985702,1.48501979%,0.0000834321,0.984984,1.53671813,0.0000352628,0.985130,1.01234921,0.993861,0.0000284099,0.97934054,0.987964,0.0000636004,1.31193441,0.988910,0.0000559185,1.26302120,0.982850,0.0001022217,1.71585094,0.983882,0.0000882061,1.62438084,0.983926,0.0000920173,1.61592873,0.990650,0.0000204251,0.83548246,0.988087,0.0000274894,0.88856358,0.987679,0.0000280942,0.89052030,0.984409,0.0000379234,1.06311293,0.983317,0.0000393816,1.08473328,0.984192,0.0000380902,1.04738572,0.0001084647,0.980919,1.76519971,0.992454,0.0000364084,1.11302001,0.984092,0.0000868605,1.61303707,0.987237,0.0000652403,1.39812376,0.978750,0.0001294438,1.94591871,0.979583,0.0001156147,1.83123191,0.979002,0.0001220341,1.86943133,done
65,2145,epithermal_only,0.0001594201,0.984107,1.95617132%,0.0001711413,0.983126,2.03745074,0.0000522555,0.986368,1.21304525,0.993907,0.0000524187,1.27425468,0.986966,0.0001242264,1.71251869,0.987067,0.0001229487,1.70997565,0.981271,0.0001960965,2.21613644,0.981516,0.0001914508,2.20424629,0.981741,0.0001901049,2.14577882,0.992717,0.0000257853,0.82384918,0.989313,0.0000398594,1.04511195,0.989249,0.0000407178,1.05422317,0.985717,0.0000548411,1.26504437,0.984475,0.0000602032,1.30650554,0.985270,0.0000571727,1.28166700,0.0002269000,0.977784,2.38813434,0.992544,0.0000670484,1.42515273,0.982664,0.0001695822,2.05880888,0.983479,0.0001573655,2.00681845,0.975327,0.0002597457,2.55590357,0.976841,0.0002434930,2.53086456,0.975118,0.0002578298,2.55027837,done
65,2145,fast_only,0.0005039100,0.963458,2.88560751%,0.0005475885,0.961487,3.02902386,0.0001045633,0.975872,1.57437229,0.992479,0.0000856907,1.47740303,0.973073,0.0003573687,2.36352043,0.972316,0.0003631572,2.37616115,0.957550,0.0006245842,3.35052726,0.955892,0.0006374560,3.35965179,0.956966,0.0006275321,3.27171531,0.988425,0.0000417572,1.14925894,0.982429,0.0000731670,1.31970863,0.980791,0.0000779151,1.36831068,0.974182,0.0001140967,1.65419133,0.973261,0.0001148606,1.66611257,0.972672,0.0001192300,1.67759382,0.0008140585,0.941278,3.72555554,0.992885,0.0000875171,1.54497816,0.962032,0.0005096947,2.93974923,0.965213,0.0004448073,2.69949489,0.930482,0.0009939961,4.19698457,0.937892,0.0008824020,3.86458568,0.930225,0.0009752012,4.20659610,done
65,2145,keff,0.0000010874,0.725210,0.07401491%,0.0000011024,0.711692,0.07489724,0.0000009509,0.814013,0.06594782,0.717447,0.0000007346,0.06047875,0.692455,0.0000009703,0.06898399,0.706604,0.0000009476,0.06852662,0.675524,0.0000011658,0.07731439,0.655832,0.0000012849,0.08288110,0.698926,0.0000011056,0.07499290,0.740969,0.0000010394,0.07712726,0.808933,0.0000008178,0.05778809,0.794973,0.0000008303,0.05826211,0.809653,0.0000009433,0.06427079,0.712819,0.0000012076,0.07921881,0.802581,0.0000009035,0.06450104,0.0000011382,0.704976,0.07598866,0.678425,0.0000008164,0.06512411,0.687222,0.0000009248,0.06854466,0.702875,0.0000009227,0.06802335,0.668623,0.0000012090,0.07886268,0.642827,0.0000013956,0.08591921,0.698899,0.0000011438,0.07563117,done
65,2145,thermal_only,0.0018445933,0.978444,6.22164756%,0.0019716448,0.977358,6.46471768,0.0006829795,0.986745,3.99929226,0.991090,0.0008738685,4.43274744,0.984386,0.0014468306,5.51490478,0.984581,0.0015247299,5.63506397,0.972867,0.0021072097,6.74701769,0.973097,0.0022964002,7.10250378,0.973638,0.0021568757,6.76716100,0.940828,0.0012189887,5.35659354,0.984723,0.0006553836,4.02865167,0.986415,0.0007059864,4.19728750,0.986633,0.0005953927,3.68414189,0.987036,0.0007176302,4.17286753,0.986713,0.0006663098,3.88118650,0.0026790138,0.967865,8.34553812,0.984215,0.0016606064,6.46962924,0.974442,0.0023381330,7.59429227,0.976321,0.0022437749,7.47598434,0.963270,0.0027457980,8.62258324,0.962897,0.0030403745,9.14401953,0.963527,0.0028087952,8.50488308,done
65,2145,total,0.0000714716,0.987030,1.42587852%,0.0000756665,0.986403,1.47416079,0.0000331180,0.986022,0.98444061,0.994903,0.0000235312,0.85900975,0.988876,0.0000587913,1.25157102,0.990175,0.0000495578,1.18647932,0.984088,0.0000950312,1.67313120,0.985637,0.0000787486,1.55851837,0.985505,0.0000831157,1.55384980,0.993416,0.0000143916,0.72359881,0.989597,0.0000239825,0.80443789,0.990156,0.0000224172,0.80423761,0.983613,0.0000398097,1.12289137,0.984622,0.0000362753,1.04703547,0.984894,0.0000363662,1.02572318,0.0001079986,0.980976,1.72369815,0.994328,0.0000274518,0.94612012,0.986733,0.0000723341,1.38386483,0.986693,0.0000678939,1.43278361,0.980589,0.0001182095,1.78995888,0.977210,0.0001287101,1.93614934,0.978546,0.0001245280,1.85960349,done
78,2574,epithermal_only,0.0001539301,0.984655,1.92812868%,0.0001649332,0.983739,2.00201967,0.0000533299,0.986011,1.25255396,0.995159,0.0000416583,1.10459274,0.987837,0.0001159323,1.64986435,0.987912,0.0001149152,1.64486903,0.981855,0.0001899702,2.18931973,0.982050,0.0001859166,2.17646577,0.982213,0.0001852022,2.13236748,0.992233,0.0000267164,0.90272752,0.988433,0.0000427114,1.11045635,0.988886,0.0000416913,1.06616083,0.985620,0.0000549981,1.30077056,0.985114,0.0000575355,1.29990504,0.984462,0.0000600298,1.34341924,0.0002190518,0.978552,2.31713278,0.993533,0.0000582965,1.37944110,0.983394,0.0001624291,1.99194858,0.984656,0.0001461707,1.93891137,0.976059,0.0002520433,2.49421422,0.977139,0.0002403357,2.46503587,0.976015,0.0002485224,2.46750790,done
78,2574,fast_only,0.0004847696,0.964860,2.84706231%,0.0005268729,0.962956,2.98789938,0.0000998248,0.976886,1.55940917,0.993416,0.0000750555,1.35371542,0.974929,0.0003327733,2.31712813,0.974303,0.0003371706,2.32981144,0.958579,0.0006096473,3.29819341,0.957537,0.0006139874,3.32504852,0.958349,0.0006075139,3.24331284,0.983298,0.0000561960,1.27889836,0.981176,0.0000771298,1.38834900,0.980245,0.0000796772,1.40531213,0.974836,0.0001106346,1.65722663,0.975787,0.0001045241,1.59222890,0.974768,0.0001099869,1.62585221,0.0006793001,0.950974,3.51314155,0.992888,0.0000877088,1.61782646,0.967598,0.0004347875,2.74776592,0.969486,0.0003895099,2.59991028,0.948168,0.0007411169,3.72051991,0.939993,0.0008522699,4.03705575,0.943477,0.0007894698,3.86549508,done
78,2574,keff,0.0000009783,0.752782,0.06927210%,0.0000010059,0.736926,0.07095443,0.0000007263,0.857939,0.05389085,0.743250,0.0000006676,0.05850497,0.713723,0.0000009032,0.06555352,0.737383,0.0000008482,0.06462179,0.696721,0.0000010896,0.07416516,0.678103,0.0000012018,0.07931903,0.732852,0.0000009810,0.07011539,0.774317,0.0000009055,0.07273234,0.847481,0.0000006528,0.05135990,0.842442,0.0000006381,0.05161084,0.837489,0.0000008053,0.05353604,0.797178,0.0000008529,0.06325143,0.855245,0.0000006625,0.04942150,0.0000010622,0.724676,0.07354100,0.725724,0.0000006963,0.06103976,0.721309,0.0000008240,0.06479490,0.715997,0.0000008819,0.06649512,0.693605,0.0000011179,0.07574931,0.670022,0.0000012894,0.08287275,0.712877,0.0000010907,0.07408017,done
78,2574,thermal_only,0.0018264427,0.978682,5.91731908%,0.0019593459,0.977524,6.17026903,0.0006113276,0.988182,3.60463386,0.992395,0.0007477239,4.04615344,0.985299,0.0013651982,5.08737214,0.985211,0.0014650369,5.21043061,0.972641,0.0021265352,6.55059604,0.973276,0.0022831404,6.80359731,0.973404,0.0021776414,6.52136277,0.953288,0.0009086001,4.97790508,0.987914,0.0005146219,3.49232385,0.989551,0.0005445901,3.56156814,0.986407,0.0006048723,3.58760618,0.987804,0.0006779461,3.74536000,0.987924,0.0006109542,3.48013727,0.0026405829,0.968328,7.98606214,0.985798,0.0014755309,5.74119462,0.977059,0.0020995257,6.93682589,0.978465,0.0020398011,6.77207948,0.963667,0.0027155148,8.31124230,0.963108,0.0030248133,8.83012059,0.962477,0.0028890228,8.34353884,done
78,2574,total,0.0000713816,0.987054,1.40685684%,0.0000759357,0.986369,1.45985034,0.0000297443,0.987453,0.92234487,0.994702,0.0000244488,0.86205237,0.989244,0.0000569330,1.21876286,0.990455,0.0000482227,1.15623463,0.983733,0.0000971943,1.67822343,0.985587,0.0000791087,1.54216673,0.985441,0.0000835823,1.54088983,0.990341,0.0000211016,0.81121685,0.990417,0.0000220782,0.75254225,0.990323,0.0000220366,0.76669269,0.985844,0.0000344459,1.02553241,0.986205,0.0000325686,0.99938933,0.986790,0.0000318263,0.94997447,0.0001252931,0.977937,1.91655783,0.992671,0.0000357303,1.08764858,0.982244,0.0000968997,1.74800937,0.989132,0.0000556495,1.27748368,0.966499,0.0002037566,2.45899631,0.983972,0.0000906430,1.62008634,0.975282,0.0001435536,2.13208562,done
91,3003,epithermal_only,0.0001448375,0.985560,1.82328618%,0.0001551744,0.984696,1.89469940,0.0000503293,0.986842,1.17036535,0.995776,0.0000363407,1.03779223,0.988617,0.0001084575,1.54079726,0.988695,0.0001074415,1.53919736,0.982855,0.0001794381,2.09125076,0.982976,0.0001762811,2.08101317,0.983297,0.0001738752,2.01114382,0.995303,0.0000163323,0.76354947,0.989329,0.0000394863,1.03882045,0.989481,0.0000394772,1.03786383,0.985893,0.0000539973,1.22615723,0.985625,0.0000557200,1.24268307,0.985622,0.0000558647,1.22822735,0.0002095570,0.979480,2.15189541,0.995527,0.0000402772,1.10702671,0.984565,0.0001509005,1.73302140,0.985764,0.0001355966,1.76634798,0.975433,0.0002585335,2.38533867,0.979070,0.0002200684,2.36803391,0.977015,0.0002381721,2.28260476,done
91,3003,fast_only,0.0004693248,0.965973,2.73467520%,0.0005090232,0.964203,2.86856054,0.0001063675,0.975898,1.51058063,0.993352,0.0000758497,1.31648614,0.975729,0.0003221385,2.19682333,0.975117,0.0003264813,2.22632284,0.959948,0.0005893709,3.18910144,0.958818,0.0005952900,3.20699104,0.959885,0.0005849560,3.10640601,0.988450,0.0000416754,1.07622903,0.981900,0.0000773399,1.25861528,0.980555,0.0000811777,1.29943718,0.973259,0.0001196140,1.65709890,0.973066,0.0001175824,1.61438637,0.973556,0.0001176002,1.57598420,0.0006595309,0.952420,3.40201755,0.993431,0.0000809829,1.57752868,0.966308,0.0004521920,2.82758219,0.970140,0.0003816182,2.43053554,0.946539,0.0007643599,3.82794698,0.946892,0.0007546881,3.62718289,0.944926,0.0007696597,3.74431848,done
