n_geometries,n_runs,target,overall_mse,overall_r2,overall_mape,setA_mse,setA_r2,setA_mape,setB_mse,setB_r2,setB_mape,setA_4G_r2,setA_4G_mse,setA_4G_mape,setA_3G1P_r2,setA_3G1P_mse,setA_3G1P_mape,setA_3G1B_r2,setA_3G1B_mse,setA_3G1B_mape,setA_2G2P_r2,setA_2G2P_mse,setA_2G2P_mape,setA_2G2B_r2,setA_2G2B_mse,setA_2G2B_mape,setA_2G1P1B_r2,setA_2G1P1B_mse,setA_2G1P1B_mape,setB_4G_r2,setB_4G_mse,setB_4G_mape,setB_3G1P_r2,setB_3G1P_mse,setB_3G1P_mape,setB_3G1B_r2,setB_3G1B_mse,setB_3G1B_mape,setB_2G2P_r2,setB_2G2P_mse,setB_2G2P_mape,setB_2G2B_r2,setB_2G2B_mse,setB_2G2B_mape,setB_2G1P1B_r2,setB_2G1P1B_mse,setB_2G1P1B_mape,setC_mse,setC_r2,setC_mape,setC_4G_r2,setC_4G_mse,setC_4G_mape,setC_3G1P_r2,setC_3G1P_mse,setC_3G1P_mape,setC_3G1B_r2,setC_3G1B_mse,setC_3G1B_mape,setC_2G2P_r2,setC_2G2P_mse,setC_2G2P_mape,setC_2G2B_r2,setC_2G2B_mse,setC_2G2B_mape,setC_2G1P1B_r2,setC_2G1P1B_mse,setC_2G1P1B_mape,status
195,6435,keff,0.0000005115,0.870747,0.05006238%,0.0000005365,0.859694,0.05179848,0.0000002832,0.944615,0.03418945,0.860561,0.0000003625,0.04302095,0.851004,0.0000004701,0.04756764,0.867030,0.0000004295,0.04611761,0.831557,0.0000006052,0.05550616,0.826068,0.0000006494,0.05763820,0.858954,0.0000005180,0.05106016,0.864691,0.0000005429,0.05730507,0.937105,0.0000002692,0.03461319,0.939586,0.0000002447,0.03563183,0.929209,0.0000003508,0.03549571,0.936176,0.0000002684,0.03373672,0.944812,0.0000002526,0.03121435,0.0000006078,0.842458,0.05472222,0.844190,0.0000003955,0.04545950,0.847647,0.0000004505,0.04796457,0.850418,0.0000004645,0.04813297,0.810125,0.0000006928,0.05906344,0.804213,0.0000007650,0.06178848,0.840849,0.0000006046,0.05424188,done
195,6435,thermal_only,0.0016645725,0.980652,4.90685948%,0.0017896304,0.979545,5.12301483,0.0005211869,0.989929,2.93058199,0.996250,0.0003713139,2.66891328,0.987616,0.0011596680,3.99289032,0.987468,0.0012499303,4.08261000,0.974822,0.0019631586,5.52661969,0.975253,0.0021190802,5.70847135,0.975075,0.0020462218,5.55650239,0.985789,0.0002719879,2.37648999,0.991404,0.0003646142,2.60548497,0.992963,0.0003674896,2.47938490,0.987186,0.0005687961,3.09231795,0.989093,0.0006069679,3.08527787,0.988511,0.0005786816,3.07730511,0.0026916171,0.967759,7.92784649,0.988209,0.0012126959,5.03787517,0.978759,0.0019459070,6.53631661,0.978929,0.0020035084,6.67877249,0.963014,0.0027684118,8.10564383,0.961450,0.0031620677,8.73997491,0.960830,0.0030195842,8.55471066,done
195,6435,total,0.0000551757,0.989997,1.20247448%,0.0000581899,0.989559,1.24036788,0.0000276180,0.988355,0.85602054,0.996814,0.0000147623,0.68762993,0.991907,0.0000428992,1.01223041,0.992873,0.0000360525,0.97533315,0.987361,0.0000755314,1.43352094,0.988897,0.0000609264,1.32450818,0.988815,0.0000642458,1.31217343,0.996889,0.0000067786,0.48546296,0.991925,0.0000186279,0.69204405,0.991856,0.0000185362,0.68563229,0.986582,0.0000326709,0.96082055,0.986907,0.0000309109,0.93166363,0.987050,0.0000312057,0.90813369,0.0000860274,0.984870,1.53953700,0.995055,0.0000241225,0.90236193,0.989013,0.0000600842,1.21733924,0.990816,0.0000470104,1.16632977,0.983281,0.0001019890,1.66501347,0.982948,0.0000964825,1.69723660,0.982846,0.0000996482,1.68302380,done
208,6864,epithermal_only,0.0001245970,0.987577,1.60005587%,0.0001337037,0.986810,1.66037117,0.0000413360,0.989192,1.04860169,0.997408,0.0000223137,0.83578210,0.990651,0.0000890795,1.30471208,0.990777,0.0000876563,1.30536823,0.985048,0.0001564241,1.86147251,0.985138,0.0001538513,1.84935913,0.985416,0.0001517760,1.77092961,0.997086,0.0000099242,0.60111585,0.992455,0.0000277731,0.86347061,0.992096,0.0000295459,0.87716115,0.987501,0.0000479709,1.15391934,0.987827,0.0000473962,1.13241691,0.988129,0.0000460571,1.11018295,0.0001889069,0.981504,2.07172089,0.995753,0.0000384662,1.10886188,0.986060,0.0001363749,1.70919396,0.987112,0.0001227515,1.65900116,0.979462,0.0002162663,2.25070172,0.980197,0.0002081702,2.22628918,0.978986,0.0002177362,2.24386495,done
208,6864,fast_only,0.0004253012,0.969193,2.41370197%,0.0004627331,0.967480,2.54547731,0.0000830671,0.981140,1.20889890,0.996447,0.0000404912,1.07035142,0.978729,0.0002823824,1.87546756,0.978112,0.0002872010,1.89326594,0.963658,0.0005352895,2.85895789,0.962270,0.0005458834,2.88883496,0.963082,0.0005386941,2.78072572,0.996577,0.0000113827,0.61646637,0.987926,0.0000505773,0.97005838,0.986393,0.0000559805,0.97438761,0.978061,0.0000981951,1.35095989,0.978200,0.0000957627,1.32439198,0.978617,0.0000949879,1.28727519,0.0006765989,0.951223,3.13269944,0.994205,0.0000712679,1.47003634,0.968359,0.0004249780,2.40185522,0.970343,0.0003791012,2.27138707,0.943844,0.0008033882,3.55269897,0.947849,0.0007415324,3.38589964,0.941780,0.0008143877,3.46583097,done
208,6864,keff,0.0000004947,0.874980,0.04925572%,0.0000005209,0.863776,0.05103671,0.0000002560,0.949934,0.03297235,0.867392,0.0000003448,0.04183968,0.857661,0.0000004491,0.04679289,0.870049,0.0000004197,0.04573401,0.837006,0.0000005856,0.05475393,0.827610,0.0000006436,0.05719242,0.863999,0.0000004994,0.05004884,0.867161,0.0000005330,0.05565320,0.942597,0.0000002457,0.03399186,0.940268,0.0000002419,0.03594800,0.938575,0.0000003044,0.03456439,0.941092,0.0000002477,0.03195623,0.951730,0.0000002209,0.02946261,0.0000006268,0.837521,0.05670418,0.851662,0.0000003766,0.04436506,0.853448,0.0000004333,0.04724611,0.821341,0.0000005548,0.05261474,0.829221,0.0000006231,0.05654572,0.801725,0.0000007747,0.06405472,0.825171,0.0000006641,0.05865563,done
208,6864,thermal_only,0.0016644949,0.980654,4.92657970%,0.0017913228,0.979527,5.14386184,0.0005049262,0.990247,2.94000015,0.996121,0.0003855555,2.71493874,0.987646,0.0011576278,4.00919179,0.987451,0.0012514647,4.11499251,0.974712,0.0019721053,5.56157151,0.975201,0.0021236231,5.74684177,0.975113,0.0020431129,5.55710708,0.985930,0.0002728237,2.37637776,0.991588,0.0003584013,2.60159108,0.993000,0.0003642759,2.51086911,0.987704,0.0005456499,3.11342391,0.989311,0.0005951077,3.13888483,0.989000,0.0005545406,3.05666117,0.0026488395,0.968290,7.79172540,0.988268,0.0012062299,5.03851589,0.979458,0.0018832531,6.32701681,0.979426,0.0019568902,6.51357275,0.963768,0.0027139901,8.00509537,0.961577,0.0031523899,8.80841293,0.961491,0.0029709485,8.32117505,done
208,6864,total,0.0000531634,0.990360,1.17827104%,0.0000562205,0.989910,1.21834478,0.0000252125,0.989383,0.81188261,0.996976,0.0000139907,0.67793370,0.992190,0.0000413667,0.99964699,0.993198,0.0000343885,0.94941050,0.987680,0.0000736102,1.41765829,0.989267,0.0000588992,1.30683620,0.989214,0.0000619340,1.28202059,0.996839,0.0000069397,0.51135957,0.992772,0.0000166801,0.64367824,0.992986,0.0000159914,0.63954015,0.987944,0.0000293687,0.89496389,0.987959,0.0000284699,0.88708748,0.988006,0.0000289463,0.87129874,0.0000838162,0.985256,1.50042133,0.994343,0.0000274662,0.97145623,0.989225,0.0000588553,1.20731232,0.990106,0.0000505657,1.21536131,0.980031,0.0001217140,1.83842468,0.985997,0.0000792259,1.51541471,0.984294,0.0000912776,1.56087188,done
221,7293,epithermal_only,0.0001271477,0.987323,1.64570105%,0.0001362933,0.986559,1.70523879,0.0000435316,0.988650,1.10135602,0.996842,0.0000272327,0.93876273,0.990334,0.0000921445,1.36379111,0.990520,0.0000901359,1.36408941,0.984825,0.0001588018,1.88974488,0.984825,0.0001571373,1.88485853,0.985225,0.0001538074,1.81458124,0.996361,0.0000124161,0.70075450,0.991618,0.0000310013,0.91818195,0.991292,0.0000326769,0.96052100,0.987388,0.0000485139,1.17813498,0.987084,0.0000504015,1.19986751,0.987665,0.0000479934,1.15509729,0.0001884020,0.981549,1.99568563,0.996064,0.0000352947,1.07470644,0.986918,0.0001279198,1.58613316,0.987695,0.0001172115,1.54098295,0.979092,0.0002200859,2.18809560,0.980389,0.0002061177,2.17719024,0.978727,0.0002203941,2.17381494,done
221,7293,fast_only,0.0004254546,0.969163,2.35254218%,0.0004637721,0.967393,2.48669864,0.0000751228,0.983059,1.12596890,0.996986,0.0000343416,0.97861158,0.978890,0.0002801697,1.80189797,0.978369,0.0002837683,1.82326101,0.963437,0.0005383081,2.81049468,0.962100,0.0005480655,2.84675544,0.962882,0.0005413454,2.71985890,0.997374,0.0000086286,0.55086136,0.989149,0.0000458195,0.87944196,0.987974,0.0000499186,0.89156598,0.980713,0.0000870617,1.24399264,0.980159,0.0000875289,1.26719878,0.980622,0.0000866606,1.20457766,0.0008086441,0.941783,3.75027209,0.989910,0.0001234338,1.99455880,0.958757,0.0005546228,3.14720532,0.966417,0.0004301811,2.71593646,0.926295,0.0010555548,4.53273992,0.943870,0.0007993128,3.66633755,0.931616,0.0009579717,4.09359856,done
221,7293,keff,0.0000004431,0.888025,0.04670882%,0.0000004638,0.878711,0.04817951,0.0000002544,0.950236,0.03326255,0.868674,0.0000003414,0.04125583,0.872770,0.0000004014,0.04401709,0.884856,0.0000003719,0.04274518,0.854175,0.0000005239,0.05175778,0.850226,0.0000005592,0.05352206,0.878122,0.0000004476,0.04749498,0.865297,0.0000005405,0.05600824,0.945002,0.0000002354,0.03441906,0.945474,0.0000002208,0.03350781,0.933509,0.0000003295,0.03672370,0.946890,0.0000002233,0.03131215,0.950586,0.0000002261,0.03014444,0.0000005512,0.857130,0.05292738,0.852401,0.0000003747,0.04401728,0.865267,0.0000003984,0.04512822,0.845120,0.0000004810,0.04866540,0.836396,0.0000005969,0.05514749,0.832256,0.0000006555,0.05850852,0.851203,0.0000005652,0.05379210,done
221,7293,thermal_only,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,run
221,7293,total,0.0000557316,0.989893,1.19675203%,0.0000589132,0.989425,1.23529602,0.0000266423,0.988783,0.84434987,0.997017,0.0000137383,0.66886769,0.991957,0.0000425992,0.99985692,0.992933,0.0000357036,0.95872041,0.987246,0.0000761878,1.42295328,0.988541,0.0000628725,1.34167179,0.988640,0.0000652354,1.30615343,0.996621,0.0000074159,0.53713731,0.992226,0.0000179485,0.68480389,0.991971,0.0000183177,0.70802503,0.987347,0.0000308456,0.92794999,0.987387,0.0000298277,0.90464874,0.987476,0.0000302230,0.89662501,0.0001161944,0.979524,1.88928445,0.994879,0.0000249682,0.91397014,0.985450,0.0000793419,1.56549525,0.984623,0.0000785282,1.64635557,0.979671,0.0001239715,1.96029849,0.973263,0.0001506763,2.15328799,0.978014,0.0001275318,1.99222611,done
234,7722,epithermal_only,0.0001240235,0.987634,1.61403675%,0.0001327290,0.986909,1.66927275,0.0000444299,0.988393,1.10902187,0.996968,0.0000261315,0.93118258,0.990796,0.0000877168,1.31574541,0.990814,0.0000873270,1.33183440,0.985140,0.0001554947,1.85982905,0.985198,0.0001532520,1.85663722,0.985579,0.0001501060,1.77214178,0.995460,0.0000157887,0.75860225,0.991722,0.0000306323,0.93072622,0.991240,0.0000328627,0.96092954,0.987068,0.0000496664,1.18587638,0.986765,0.0000513432,1.20333675,0.987339,0.0000491968,1.16143479,0.0001897250,0.981426,2.11577252,0.996048,0.0000357621,1.06103154,0.985777,0.0001391833,1.80572759,0.987796,0.0001162515,1.57612535,0.978690,0.0002244211,2.40827016,0.980727,0.0002026661,2.17927044,0.978757,0.0002201173,2.30919061,done
234,7722,fast_only,0.0004190806,0.969622,2.36334408%,0.0004563027,0.967917,2.49209912,0.0000787639,0.982179,1.18615518,0.996649,0.0000381755,1.03379130,0.978993,0.0002788507,1.82556921,0.978578,0.0002810523,1.84527820,0.964012,0.0005297505,2.81725183,0.962949,0.0005357859,2.82698115,0.963504,0.0005322487,2.72139101,0.995694,0.0000146416,0.69291948,0.988462,0.0000484627,0.96138934,0.986795,0.0000543123,1.00105729,0.979724,0.0000912694,1.30673125,0.979402,0.0000907296,1.28042768,0.979789,0.0000901229,1.25645511,0.0007198262,0.948077,3.48577664,0.996360,0.0000449784,1.13141079,0.967346,0.0004382549,2.64371104,0.970823,0.0003722914,2.26107203,0.937402,0.0008954301,4.06773710,0.946183,0.0007647294,3.59835240,0.937355,0.0008756977,4.02427660,done
234,7722,keff,0.0000004315,0.890959,0.04626137%,0.0000004526,0.881637,0.04782335,0.0000002389,0.953264,0.03198047,0.866628,0.0000003468,0.04094810,0.877175,0.0000003875,0.04358432,0.886116,0.0000003678,0.04276796,0.859869,0.0000005035,0.05085455,0.854751,0.0000005423,0.05285472,0.879904,0.0000004410,0.04746313,0.881679,0.0000004748,0.05346997,0.952630,0.0000002028,0.03232022,0.951738,0.0000001955,0.03161464,0.944392,0.0000002756,0.03307355,0.944728,0.0000002324,0.03096274,0.949568,0.0000002308,0.03016070,0.0000005543,0.856312,0.05315112,0.860631,0.0000003538,0.04316866,0.864586,0.0000004004,0.04475266,0.846484,0.0000004767,0.04839802,0.836161,0.0000005978,0.05524957,0.830049,0.0000006641,0.05886501,0.849512,0.0000005717,0.05446341,done
234,7722,thermal_only,0.0016264994,0.981120,4.79169768%,0.0017495429,0.980026,5.00028090,0.0005015304,0.990327,2.88465113,0.996689,0.0003300817,2.56208548,0.988119,0.0011154536,3.87556135,0.987961,0.0012028650,3.96774484,0.975251,0.0019316753,5.43029353,0.975810,0.0020729985,5.57764642,0.975558,0.0020086265,5.41885998,0.988701,0.0002208045,2.17591070,0.991719,0.0003527725,2.54775324,0.993303,0.0003496963,2.42823322,0.987569,0.0005532142,3.03671160,0.989514,0.0005836218,3.09066737,0.988940,0.0005582339,3.02911308,0.0026268610,0.968584,7.77243329,0.989247,0.0011094702,4.90781556,0.979997,0.0018390221,6.25147632,0.980486,0.0018601699,6.32953226,0.963965,0.0027007872,8.06620812,0.961640,0.0031494926,8.74017937,0.961478,0.0029736254,8.36913149,done
234,7722,total,0.0000528919,0.990407,1.15562551%,0.0000559011,0.989965,1.19412311,0.0000253795,0.989302,0.80364743,0.997079,0.0000135126,0.66590846,0.992290,0.0000408268,0.96500010,0.993254,0.0000341194,0.92887550,0.987759,0.0000731147,1.39049736,0.989338,0.0000585200,1.28489481,0.989234,0.0000618025,1.25935824,0.997640,0.0000051542,0.42672815,0.992891,0.0000163920,0.63542926,0.993014,0.0000159098,0.64287760,0.987605,0.0000301752,0.90598747,0.987977,0.0000283971,0.86388298,0.987844,0.0000293107,0.86343223,0.0000803666,0.985856,1.49106850,0.994458,0.0000270638,0.97519346,0.988123,0.0000648323,1.31739705,0.990355,0.0000493667,1.19692797,0.983066,0.0001032435,1.67986907,0.986263,0.0000777325,1.49815272,0.984456,0.0000902131,1.59219491,done
247,8151,epithermal_only,0.0001230776,0.987729,1.61216160%,0.0001316822,0.987009,1.66908244,0.0000444068,0.988429,1.09174244,0.997078,0.0000251273,0.89268676,0.990780,0.0000878427,1.32262910,0.990856,0.0000869051,1.32818265,0.985273,0.0001540645,1.86235273,0.985330,0.0001518454,1.86111117,0.985700,0.0001488279,1.77025029,0.996678,0.0000113960,0.62408427,0.991805,0.0000304287,0.91196612,0.991408,0.0000323294,0.94689830,0.986823,0.0000506568,1.18002196,0.986971,0.0000507712,1.17472707,0.987283,0.0000495358,1.15328869,0.0002570256,0.974810,2.47764553,0.991857,0.0000721717,1.50347563,0.985546,0.0001411003,1.78467527,0.979045,0.0001994324,2.38330421,0.977513,0.0002365739,2.28804567,0.965838,0.0003586401,3.02751352,0.972026,0.0002897389,2.64139740,done
247,8151,fast_only,0.0004182237,0.969683,2.41358725%,0.0004548835,0.968016,2.54014121,0.0000830481,0.981144,1.25652241,0.996442,0.0000405455,1.06729075,0.978689,0.0002828620,1.88266869,0.978173,0.0002863492,1.89810197,0.964541,0.0005219913,2.85886723,0.963129,0.0005331447,2.86965249,0.963640,0.0005302458,2.77193069,0.994688,0.0000180956,0.77608501,0.987313,0.0000532441,1.03052496,0.985982,0.0000575825,1.06052325,0.978955,0.0000944634,1.34885528,0.978290,0.0000952440,1.36115633,0.978583,0.0000950783,1.33874099,0.0006790864,0.951002,3.36281519,0.996159,0.0000474806,1.15429899,0.967313,0.0004386453,2.48603274,0.970301,0.0003790497,2.26354919,0.943239,0.0008116130,3.91377263,0.948618,0.0007299754,3.59242000,0.941290,0.0008203455,3.81586731,done
247,8151,keff,0.0000004167,0.894688,0.04532062%,0.0000004385,0.885308,0.04684313,0.0000002176,0.957432,0.03140059,0.887171,0.0000002934,0.03828934,0.885924,0.0000003599,0.04185251,0.887612,0.0000003630,0.04203998,0.865355,0.0000004837,0.04984936,0.853627,0.0000005465,0.05279675,0.884150,0.0000004254,0.04634060,0.902202,0.0000003924,0.04840046,0.961094,0.0000001665,0.02793456,0.956282,0.0000001771,0.02964131,0.943935,0.0000002778,0.03468087,0.945195,0.0000002305,0.03242696,0.956928,0.0000001971,0.02957239,0.0000005252,0.863849,0.05090269,0.879555,0.0000003058,0.04002319,0.880592,0.0000003531,0.04227641,0.860654,0.0000004327,0.04623922,0.845655,0.0000005631,0.05347061,0.822411,0.0000006939,0.05883206,0.860862,0.0000005286,0.05099357,done
