experiment,n_geometries,n_runs,target,overall_mse,overall_r2,overall_mape,setA_mse,setA_r2,setA_mape,setB_mse,setB_r2,setB_mape,setA_4G_r2,setA_4G_mse,setA_4G_mape,setA_3G1P_r2,setA_3G1P_mse,setA_3G1P_mape,setA_3G1B_r2,setA_3G1B_mse,setA_3G1B_mape,setA_2G2P_r2,setA_2G2P_mse,setA_2G2P_mape,setA_2G2B_r2,setA_2G2B_mse,setA_2G2B_mape,setA_2G1P1B_r2,setA_2G1P1B_mse,setA_2G1P1B_mape,setB_4G_r2,setB_4G_mse,setB_4G_mape,setB_3G1P_r2,setB_3G1P_mse,setB_3G1P_mape,setB_3G1B_r2,setB_3G1B_mse,setB_3G1B_mape,setB_2G2P_r2,setB_2G2P_mse,setB_2G2P_mape,setB_2G2B_r2,setB_2G2B_mse,setB_2G2B_mape,setB_2G1P1B_r2,setB_2G1P1B_mse,setB_2G1P1B_mape,setC_mse,setC_r2,setC_mape,setC_4G_r2,setC_4G_mse,setC_4G_mape,setC_3G1P_r2,setC_3G1P_mse,setC_3G1P_mape,setC_3G1B_r2,setC_3G1B_mse,setC_3G1B_mape,setC_2G2P_r2,setC_2G2P_mse,setC_2G2P_mape,setC_2G2B_r2,setC_2G2B_mse,setC_2G2B_mape,setC_2G1P1B_r2,setC_2G1P1B_mse,setC_2G1P1B_mape,status
selected,39,1287,epithermal_only,0.0001985643,0.980206,2.31226251%,0.0002111395,0.979194,2.39232989,0.0000713473,0.982988,1.45863325,0.991303,0.0000748493,1.57476928,0.983672,0.0001557575,2.06518574,0.983633,0.0001557553,2.06950920,0.977379,0.0002369363,2.55758332,0.977502,0.0002331201,2.53919356,0.977390,0.0002355304,2.52105635,0.986240,0.0000525728,1.33273264,0.984104,0.0000644640,1.40337529,0.984302,0.0000643963,1.40268025,0.983110,0.0000710363,1.46513390,0.982723,0.0000734235,1.46793132,0.982003,0.0000766407,1.49829593,0.0002551652,0.975039,2.59601933,0.990898,0.0000820287,1.65093972,0.980212,0.0001937876,2.23764527,0.981386,0.0001773741,2.21670280,0.972683,0.0002878564,2.75289554,0.974173,0.0002717821,2.70910834,0.971897,0.0002913765,2.78595015,done
selected,39,1287,fast_only,0.0004982823,0.963870,3.01457633%,0.0005369848,0.962241,3.12836484,0.0001171087,0.974250,1.69864412,0.990877,0.0001040486,1.66673975,0.973591,0.0003505640,2.49841494,0.972985,0.0003544747,2.51238801,0.958572,0.0006096218,3.40631783,0.957029,0.0006212095,3.43466294,0.957655,0.0006176088,3.37335030,0.981062,0.0000723880,1.44380791,0.977358,0.0000980416,1.58118879,0.977027,0.0000981083,1.57903742,0.972684,0.0001260199,1.76545484,0.973788,0.0001193758,1.69911086,0.972096,0.0001279354,1.76526241,0.0006577851,0.952499,3.43128660,0.990837,0.0001126916,1.76262395,0.966181,0.0004537525,2.79360846,0.970539,0.0003761972,2.64404201,0.947402,0.0007511321,3.72791645,0.948132,0.0007362595,3.70075041,0.944161,0.0007793222,3.76272817,done
selected,39,1287,keff,0.0000017397,0.560390,0.09486464%,0.0000018028,0.528491,0.09704217,0.0000010494,0.814052,0.06785239,0.629827,0.0000009625,0.07044239,0.512457,0.0000015382,0.08813815,0.532756,0.0000015091,0.08745926,0.460410,0.0000019386,0.10116424,0.432345,0.0000021193,0.10726599,0.500883,0.0000018329,0.09824817,0.768458,0.0000010250,0.07503291,0.854303,0.0000006903,0.05493175,0.850359,0.0000006746,0.05581364,0.817271,0.0000010037,0.06340089,0.674435,0.0000015155,0.08659903,0.785090,0.0000010859,0.06842625,0.0000018882,0.510569,0.09888300,0.580977,0.0000010637,0.07372254,0.503981,0.0000014666,0.08625533,0.507342,0.0000015299,0.08846262,0.457873,0.0000019780,0.10321075,0.417641,0.0000022755,0.11088512,0.479202,0.0000019784,0.10050437,done
selected,39,1287,thermal_only,0.0022118483,0.974113,6.63469145%,0.0022756288,0.973850,6.72590107,0.0004575223,0.991965,3.03695385,0.988607,0.0011268644,4.63560375,0.981746,0.0016921330,5.69937952,0.981918,0.0017885085,5.85689429,0.968756,0.0024229723,7.03304126,0.969863,0.0025715940,7.27076019,0.969341,0.0025065768,7.10593562,0.989654,0.0002576820,2.64214253,0.992631,0.0003560092,2.87144965,0.993741,0.0003655154,2.88400725,0.989829,0.0004983302,3.13202576,0.991256,0.0005301545,3.30752370,0.991417,0.0004819624,2.99318418,0.0029502805,0.964555,8.05041845,0.982405,0.0018224963,5.49437656,0.975066,0.0022723735,6.85796926,0.974688,0.0023857238,7.08790056,0.960637,0.0029464429,8.08039106,0.959498,0.0033174377,8.64402049,0.957354,0.0032770675,8.67065996,done
selected,39,1287,total,0.0000934237,0.983092,1.63895674%,0.0000964783,0.982729,1.67909702,0.0000371099,0.985491,1.06007427,0.988503,0.0000536665,1.32023480,0.984806,0.0000809009,1.51495535,0.985775,0.0000723256,1.47286051,0.980748,0.0001152470,1.83628495,0.981974,0.0000991386,1.74148321,0.982164,0.0001025749,1.72267456,0.989663,0.0000240642,0.92026151,0.987833,0.0000300955,0.93965072,0.987179,0.0000314333,0.94764017,0.984723,0.0000400728,1.11596834,0.983673,0.0000417749,1.14742626,0.985169,0.0000386133,1.07772152,0.0001142710,0.979988,1.79418823,0.989400,0.0000521070,1.31118903,0.982800,0.0000947410,1.62378586,0.984943,0.0000773724,1.52446498,0.975997,0.0001467182,2.01097110,0.980908,0.0001085361,1.80480382,0.978588,0.0001249219,1.86758031,done
selected,52,1716,epithermal_only,0.0001748111,0.982571,2.06652901%,0.0001850397,0.981748,2.13869140,0.0000523394,0.987521,1.15778639,0.993123,0.0000592553,1.32259540,0.985675,0.0001364788,1.80964899,0.985962,0.0001334424,1.80155909,0.979787,0.0002114963,2.32943480,0.979983,0.0002072340,2.29360636,0.980344,0.0002045825,2.25592847,0.994550,0.0000205882,0.79427658,0.989946,0.0000406029,1.00914526,0.989982,0.0000410410,1.02022954,0.986760,0.0000558456,1.22078048,0.985914,0.0000599617,1.23798212,0.986598,0.0000570994,1.21188330,0.0002296358,0.977531,2.32371781,0.992802,0.0000647742,1.42040677,0.982752,0.0001689053,1.95000748,0.983781,0.0001545693,1.92502269,0.974719,0.0002663246,2.52885711,0.976804,0.0002440548,2.45801041,0.974617,0.0002631314,2.48699469,done
selected,52,1716,fast_only,0.0005106578,0.962926,3.03957803%,0.0005521969,0.961136,3.16445206,0.0001311207,0.971087,1.82756249,0.990874,0.0001040379,1.64668438,0.972985,0.0003583327,2.51250916,0.972214,0.0003643140,2.52387623,0.957001,0.0006321472,3.48195735,0.955530,0.0006422404,3.48301412,0.956640,0.0006317957,3.40373861,0.981057,0.0000703338,1.36037873,0.977218,0.0000977886,1.60526590,0.976222,0.0001001027,1.60512673,0.969382,0.0001417085,1.91198694,0.968158,0.0001439274,1.93488618,0.968182,0.0001459391,1.91886452,0.0006925260,0.949981,3.49395922,0.991424,0.0001057192,1.75607778,0.965865,0.0004578121,2.79227810,0.967843,0.0004100612,2.67983722,0.943653,0.0008046286,3.81920786,0.945670,0.0007711596,3.77090855,0.941343,0.0008186128,3.84342938,done
selected,52,1716,keff,0.0000013390,0.661632,0.08244291%,0.0000013829,0.638315,0.08424834,0.0000009335,0.834595,0.06330592,0.694578,0.0000007941,0.06450501,0.623499,0.0000011878,0.07646068,0.648076,0.0000011367,0.07544684,0.588539,0.0000014783,0.08736441,0.537175,0.0000017279,0.09653806,0.629950,0.0000013589,0.08372043,0.738844,0.0000011561,0.08321080,0.846005,0.0000007296,0.05650131,0.854517,0.0000006559,0.05723754,0.809232,0.0000010478,0.06387902,0.737705,0.0000012209,0.07648755,0.826933,0.0000008745,0.05906080,0.0000014347,0.628096,0.08602753,0.644873,0.0000009015,0.06922293,0.622005,0.0000011177,0.07557000,0.625874,0.0000011618,0.07670646,0.580246,0.0000015315,0.09040263,0.533359,0.0000018234,0.09888027,0.622689,0.0000014333,0.08541147,done
selected,52,1716,thermal_only,0.0019629492,0.977041,6.33904150%,0.0020252041,0.976741,6.42554768,0.0005539927,0.990014,3.42303322,0.990228,0.0009631498,4.39116523,0.984204,0.0014645722,5.36546262,0.984108,0.0015728910,5.54284966,0.971713,0.0021933424,6.80053907,0.972258,0.0023670578,7.16217502,0.973167,0.0021963609,6.68686455,0.984531,0.0003705135,3.04283723,0.991706,0.0003991069,2.97573246,0.992675,0.0004231200,3.01446089,0.986317,0.0006442688,3.73499447,0.987337,0.0007427753,4.11559765,0.990498,0.0005250060,3.23774441,0.0027239471,0.967267,7.73053864,0.985264,0.0015215325,5.32226024,0.976985,0.0020934451,6.55685806,0.976858,0.0021799255,6.69209652,0.962930,0.0027698825,7.86995155,0.962410,0.0030782552,8.42371511,0.960779,0.0030158652,8.25297040,done
selected,52,1716,total,0.0000786830,0.985702,1.48501979%,0.0000834321,0.984984,1.53671813,0.0000349766,0.986325,0.99153389,0.993861,0.0000284099,0.97934054,0.987964,0.0000636004,1.31193441,0.988910,0.0000559185,1.26302120,0.982850,0.0001022217,1.71585094,0.983882,0.0000882061,1.62438084,0.983926,0.0000920173,1.61592873,0.991201,0.0000204885,0.83949148,0.988914,0.0000274476,0.85713579,0.988581,0.0000279782,0.84823419,0.985490,0.0000380735,1.07146533,0.984485,0.0000396410,1.08076945,0.985742,0.0000371457,1.01218653,0.0000948379,0.983325,1.60628419,0.993948,0.0000292076,0.97578307,0.986788,0.0000721621,1.38371653,0.988597,0.0000583196,1.28798060,0.979570,0.0001245318,1.83952634,0.983620,0.0000927511,1.64541349,0.981728,0.0001062530,1.70310403,done
selected,65,2145,epithermal_only,0.0001594201,0.984107,1.95617132%,0.0001711413,0.983126,2.03745074,0.0000513959,0.987783,1.19106285,0.993907,0.0000524187,1.27425468,0.986966,0.0001242264,1.71251869,0.987067,0.0001229487,1.70997565,0.981271,0.0001960965,2.21613644,0.981516,0.0001914508,2.20424629,0.981741,0.0001901049,2.14577882,0.993302,0.0000258977,0.82224837,0.990104,0.0000403772,1.03233168,0.989968,0.0000414985,1.03765987,0.987197,0.0000539779,1.25240421,0.986015,0.0000596128,1.28766067,0.987087,0.0000550933,1.24687253,0.0002130571,0.979142,2.21167712,0.993630,0.0000571979,1.29399586,0.984211,0.0001544172,1.86549717,0.984748,0.0001452741,1.83164879,0.976557,0.0002468034,2.40336509,0.978356,0.0002276272,2.36726394,0.976448,0.0002440710,2.35683499,done
selected,65,2145,fast_only,0.0005039100,0.963458,2.88560751%,0.0005475885,0.961487,3.02902386,0.0001039211,0.977789,1.48940775,0.992479,0.0000856907,1.47740303,0.973073,0.0003573687,2.36352043,0.972316,0.0003631572,2.37616115,0.957550,0.0006245842,3.35052726,0.955892,0.0006374560,3.35965179,0.956966,0.0006275321,3.27171531,0.989706,0.0000409476,1.11332079,0.983309,0.0000750261,1.28434100,0.981735,0.0000797837,1.33692004,0.976211,0.0001132903,1.55855384,0.975443,0.0001139890,1.57389204,0.975215,0.0001171278,1.56311796,0.0006943717,0.949904,3.36390530,0.993361,0.0000816854,1.49502279,0.965440,0.0004639151,2.65962684,0.967744,0.0004121743,2.52105887,0.944033,0.0008000616,3.68946421,0.944911,0.0007827682,3.67287322,0.941359,0.0008194390,3.71860439,done
selected,65,2145,keff,0.0000010874,0.725210,0.07401491%,0.0000011024,0.711692,0.07489724,0.0000008641,0.846891,0.06081973,0.717447,0.0000007346,0.06047875,0.692455,0.0000009703,0.06898399,0.706604,0.0000009476,0.06852662,0.675524,0.0000011658,0.07731439,0.655832,0.0000012849,0.08288110,0.698926,0.0000011056,0.07499290,0.756261,0.0000010790,0.07787101,0.845620,0.0000007314,0.05176718,0.833905,0.0000007488,0.05268907,0.826822,0.0000009512,0.06249982,0.786707,0.0000009928,0.07020752,0.837550,0.0000008208,0.05959259,0.0000011194,0.709836,0.07553738,0.677889,0.0000008177,0.06476696,0.687362,0.0000009244,0.06859937,0.699560,0.0000009330,0.06880484,0.673893,0.0000011898,0.07819886,0.656870,0.0000013408,0.08432906,0.703618,0.0000011259,0.07526814,done
selected,65,2145,thermal_only,0.0018445933,0.978444,6.22164756%,0.0019716448,0.977358,6.46471768,0.0005650275,0.990073,3.46606422,0.991090,0.0008738685,4.43274744,0.984386,0.0014468306,5.51490478,0.984581,0.0015247299,5.63506397,0.972867,0.0021072097,6.74701769,0.973097,0.0022964002,7.10250378,0.973638,0.0021568757,6.76716100,0.984167,0.0004754065,3.15825698,0.989947,0.0004975199,3.32961760,0.991550,0.0005020610,3.34372594,0.988555,0.0005645359,3.43995944,0.989033,0.0006628225,3.86233124,0.989779,0.0005673355,3.39289535,0.0025959063,0.968926,7.67656908,0.988843,0.0011680978,5.06034959,0.977406,0.0020659653,6.69951896,0.978790,0.0020117529,6.61935301,0.964877,0.0026393183,7.73989883,0.964211,0.0029391718,8.31822854,0.962463,0.0028933090,8.22090103,done
selected,65,2145,total,0.0000714716,0.987030,1.42587852%,0.0000756665,0.986403,1.47416079,0.0000307021,0.987984,0.92450847,0.994903,0.0000235312,0.85900975,0.988876,0.0000587913,1.25157102,0.990175,0.0000495578,1.18647932,0.984088,0.0000950312,1.67313120,0.985637,0.0000787486,1.55851837,0.985505,0.0000831157,1.55384980,0.995096,0.0000114241,0.65929888,0.991058,0.0000221196,0.74492405,0.991188,0.0000215648,0.77135114,0.986238,0.0000360352,1.03981165,0.986146,0.0000353654,1.00970802,0.987239,0.0000332171,0.95727182,0.0000878400,0.984540,1.54280135,0.994310,0.0000276268,0.94598721,0.987107,0.0000702849,1.34638589,0.989307,0.0000546073,1.23983905,0.980963,0.0001159410,1.77212130,0.985309,0.0000831391,1.56673200,0.983114,0.0000981036,1.63253394,done
selected,78,2574,epithermal_only,0.0001539301,0.984655,1.92812868%,0.0001649332,0.983739,2.00201967,0.0000553823,0.986760,1.26213748,0.995159,0.0000416583,1.10459274,0.987837,0.0001159323,1.64986435,0.987912,0.0001149152,1.64486903,0.981855,0.0001899702,2.18931973,0.982050,0.0001859166,2.17646577,0.982213,0.0001852022,2.13236748,0.992720,0.0000272996,0.91968828,0.989048,0.0000442535,1.11290301,0.989230,0.0000441126,1.08235329,0.986397,0.0000571312,1.32249378,0.985652,0.0000609103,1.32258924,0.985509,0.0000615504,1.33994377,0.0002021899,0.980204,2.14417081,0.994970,0.0000452709,1.18665229,0.985432,0.0001424744,1.76013974,0.986352,0.0001300091,1.72739227,0.977188,0.0002401197,2.35973067,0.979422,0.0002163776,2.29222379,0.977494,0.0002332164,2.30935748,done
selected,78,2574,fast_only,0.0004847696,0.964860,2.84706231%,0.0005268729,0.962956,2.98789938,0.0000950136,0.979674,1.43567132,0.993416,0.0000750555,1.35371542,0.974929,0.0003327733,2.31712813,0.974303,0.0003371706,2.32981144,0.958579,0.0006096473,3.29819341,0.957537,0.0006139874,3.32504852,0.958349,0.0006075139,3.24331284,0.990579,0.0000351436,0.99689211,0.985038,0.0000672859,1.20623535,0.984124,0.0000701851,1.22749507,0.977130,0.0001081115,1.56171125,0.977868,0.0001033533,1.51181909,0.977331,0.0001068028,1.51701315,0.0006361840,0.954103,3.20945513,0.994209,0.0000714308,1.43969694,0.968898,0.0004173920,2.52643902,0.971196,0.0003677977,2.42212182,0.947795,0.0007464753,3.52707144,0.950015,0.0007103456,3.50889556,0.946076,0.0007535685,3.53900980,done
selected,78,2574,keff,0.0000009783,0.752782,0.06927210%,0.0000010059,0.736926,0.07095443,0.0000007229,0.871915,0.05092598,0.743250,0.0000006676,0.05850497,0.713723,0.0000009032,0.06555352,0.737383,0.0000008482,0.06462179,0.696721,0.0000010896,0.07416516,0.678103,0.0000012018,0.07931903,0.732852,0.0000009810,0.07011539,0.784423,0.0000009544,0.07327612,0.875161,0.0000005915,0.04541101,0.876017,0.0000005590,0.04520278,0.843112,0.0000008617,0.05323048,0.818518,0.0000008448,0.06036024,0.867087,0.0000006716,0.04694014,0.0000010288,0.733328,0.07214783,0.725871,0.0000006959,0.06100741,0.722506,0.0000008205,0.06459537,0.730987,0.0000008354,0.06457798,0.695131,0.0000011123,0.07560025,0.675303,0.0000012687,0.08158508,0.729189,0.0000010288,0.07167521,done
selected,78,2574,thermal_only,0.0018264427,0.978682,5.91731908%,0.0019593459,0.977524,6.17026903,0.0005610789,0.990115,3.22588629,0.992395,0.0007477239,4.04615344,0.985299,0.0013651982,5.08737214,0.985211,0.0014650369,5.21043061,0.972641,0.0021265352,6.55059604,0.973276,0.0022831404,6.80359731,0.973404,0.0021776414,6.52136277,0.986485,0.0003359643,3.14092226,0.991549,0.0004140517,2.93178793,0.992584,0.0004384671,2.96748733,0.987852,0.0005953390,3.36877314,0.988715,0.0006816353,3.53124492,0.989352,0.0005923100,3.19300966,0.0024945622,0.970156,7.22525370,0.990312,0.0010052806,4.46332376,0.979183,0.0019074244,6.10780704,0.980513,0.0018481485,5.99983139,0.965910,0.0025610418,7.40567018,0.965821,0.0028099694,7.84222695,0.963175,0.0028393191,7.83843560,done
selected,78,2574,total,0.0000713816,0.987054,1.40685684%,0.0000759357,0.986369,1.45985034,0.0000292668,0.988568,0.89640273,0.994702,0.0000244488,0.86205237,0.989244,0.0000569330,1.21876286,0.990455,0.0000482227,1.15623463,0.983733,0.0000971943,1.67822343,0.985587,0.0000791087,1.54216673,0.985441,0.0000835823,1.54088983,0.994943,0.0000117453,0.63000034,0.991319,0.0000214975,0.71878839,0.991454,0.0000209358,0.72316187,0.987206,0.0000336372,0.99721520,0.987085,0.0000330354,0.99278419,0.987722,0.0000320241,0.93695770,0.0000861471,0.984839,1.51240569,0.994655,0.0000258413,0.87273399,0.988045,0.0000652495,1.26227557,0.990100,0.0000506912,1.18163951,0.980617,0.0001180189,1.77750549,0.985361,0.0000828365,1.54483447,0.983525,0.0000956931,1.61075540,done
selected,91,3003,epithermal_only,0.0001448375,0.985560,1.82328618%,0.0001551744,0.984696,1.89469940,0.0000467238,0.988928,1.11138803,0.995776,0.0000363407,1.03779223,0.988617,0.0001084575,1.54079726,0.988695,0.0001074415,1.53919736,0.982855,0.0001794381,2.09125076,0.982976,0.0001762811,2.08101317,0.983297,0.0001738752,2.01114382,0.996026,0.0000151829,0.73267242,0.990772,0.0000375639,0.99881583,0.990985,0.0000371762,0.97959332,0.988491,0.0000486252,1.15526744,0.987726,0.0000525264,1.18584002,0.987957,0.0000517362,1.16523761,0.0002029581,0.980126,2.08756802,0.995465,0.0000407699,1.11388283,0.984908,0.0001475804,1.71500109,0.986332,0.0001301579,1.65120428,0.977278,0.0002391609,2.30111929,0.979382,0.0002167761,2.24502930,0.977394,0.0002342339,2.25311354,done
selected,91,3003,fast_only,0.0004693248,0.965973,2.73467520%,0.0005090232,0.964203,2.86856054,0.0001124637,0.976432,1.49557482,0.993352,0.0000758497,1.31648614,0.975729,0.0003221385,2.19682333,0.975117,0.0003264813,2.22632284,0.959948,0.0005893709,3.18910144,0.958818,0.0005952900,3.20699104,0.959885,0.0005849560,3.10640601,0.990655,0.0000379187,0.97372358,0.982357,0.0000821661,1.22703996,0.981108,0.0000858900,1.26103584,0.973547,0.0001272318,1.67093992,0.973411,0.0001253390,1.62693850,0.974298,0.0001238111,1.55338931,0.0006538873,0.952831,3.16821490,0.994055,0.0000732377,1.44666693,0.968070,0.0004286750,2.45149608,0.970117,0.0003819197,2.35555130,0.946837,0.0007601545,3.49511873,0.948197,0.0007361725,3.48501335,0.944624,0.0007738848,3.50009371,done
selected,91,3003,keff,0.0000009449,0.761228,0.06848247%,0.0000009833,0.742837,0.07043555,0.0000006001,0.893670,0.04878684,0.803742,0.0000005103,0.05265958,0.712549,0.0000009069,0.06562357,0.750035,0.0000008074,0.06196162,0.698388,0.0000010836,0.07493570,0.686270,0.0000011713,0.07837188,0.737867,0.0000009626,0.07012727,0.826332,0.0000007688,0.06896523,0.890644,0.0000005181,0.04373687,0.902833,0.0000004381,0.04291291,0.868785,0.0000007207,0.05219343,0.846576,0.0000007142,0.05843568,0.891155,0.0000005500,0.04421890,0.0000010030,0.740010,0.07164814,0.776388,0.0000005677,0.05494662,0.722003,0.0000008220,0.06539630,0.763326,0.0000007350,0.06073523,0.688372,0.0000011370,0.07744079,0.685444,0.0000012291,0.07991672,0.734379,0.0000010090,0.07173549,done
selected,91,3003,thermal_only,0.0018702011,0.978139,5.67535950%,0.0020112487,0.976898,5.93998961,0.0005859325,0.989619,3.04943984,0.992954,0.0006922259,3.59893497,0.984940,0.0013968153,4.82739377,0.984962,0.0014875900,4.97129154,0.971824,0.0021870325,6.31636660,0.972612,0.0023372728,6.56771883,0.972486,0.0022496275,6.32678904,0.987570,0.0002974473,2.64714800,0.990955,0.0004337896,2.81300447,0.992530,0.0004360501,2.76339752,0.986927,0.0006361866,3.20625503,0.988960,0.0006693910,3.21642503,0.988333,0.0006437916,3.09522321,0.0025782889,0.969184,7.10566585,0.991640,0.0008704255,4.03934223,0.979057,0.0019228527,5.90805109,0.980367,0.0018678396,5.86279985,0.964627,0.0026584298,7.29842017,0.964176,0.0029462558,7.75334663,0.961735,0.0029523219,7.75531217,done
selected,91,3003,total,0.0000682853,0.987632,1.36087290%,0.0000727430,0.986965,1.41551637,0.0000276900,0.989179,0.83921970,0.995555,0.0000205885,0.80512196,0.989817,0.0000539940,1.16774593,0.990885,0.0000461354,1.11527708,0.984601,0.0000921578,1.61775420,0.986018,0.0000768780,1.50939960,0.986014,0.0000804332,1.50099195,0.997240,0.0000064177,0.47609740,0.991854,0.0000201686,0.69040753,0.992410,0.0000185850,0.64943769,0.987737,0.0000321930,0.95223366,0.987775,0.0000312382,0.92985906,0.988121,0.0000309792,0.88051795,0.0000830109,0.985386,1.46859379,0.995229,0.0000229276,0.83869733,0.988367,0.0000634736,1.23612355,0.990509,0.0000484938,1.12996440,0.981694,0.0001114749,1.70200385,0.985801,0.0000803806,1.52204508,0.983958,0.0000931356,1.56819427,done
selected,104,3432,epithermal_only,0.0001371642,0.986324,1.78765453%,0.0001470764,0.985497,1.86146022,0.0000422756,0.989964,1.05545376,0.995769,0.0000364646,1.06081693,0.989229,0.0001026716,1.50573252,0.989358,0.0001011947,1.51395987,0.983685,0.0001707702,2.05616007,0.983832,0.0001674277,2.04398178,0.984211,0.0001643671,1.97397914,0.997370,0.0000097524,0.60266978,0.992307,0.0000310839,0.89715046,0.992321,0.0000314357,0.89263210,0.989083,0.0000462303,1.13073077,0.988390,0.0000497862,1.14849731,0.989124,0.0000465970,1.11606714,0.0001954718,0.980862,2.06413865,0.995260,0.0000427047,1.14930932,0.985409,0.0001427569,1.69914969,0.986994,0.0001238864,1.63483581,0.977956,0.0002320385,2.28197781,0.979977,0.0002105623,2.23494438,0.978397,0.0002238493,2.21106753,done
selected,104,3432,fast_only,0.0004237172,0.969293,2.63301211%,0.0004600850,0.967655,2.76746112,0.0000968249,0.979051,1.41834150,0.995144,0.0000553374,1.24265449,0.978258,0.0002885686,2.11030216,0.977978,0.0002889406,2.11344874,0.963796,0.0005329742,3.10403171,0.962519,0.0005420395,3.12263929,0.963625,0.0005306123,2.98571106,0.992275,0.0000263211,0.89826642,0.985394,0.0000639634,1.16757374,0.984188,0.0000681559,1.17499515,0.976550,0.0001102998,1.54588086,0.975661,0.0001120603,1.55646343,0.976750,0.0001088551,1.49355514,0.0006063340,0.956273,3.06341974,0.995332,0.0000575040,1.29005109,0.970555,0.0003953582,2.33333222,0.972795,0.0003475444,2.25158353,0.951110,0.0006991845,3.39721943,0.952289,0.0006782164,3.40079919,0.948046,0.0007264428,3.39007319,done
selected,104,3432,keff,0.0000007387,0.813331,0.06054435%,0.0000007527,0.803138,0.06169454,0.0000005327,0.905603,0.04400092,0.805659,0.0000005053,0.05123562,0.788704,0.0000006666,0.05694701,0.803278,0.0000006354,0.05638760,0.765189,0.0000008436,0.06541788,0.758840,0.0000009003,0.06863852,0.803429,0.0000007218,0.06058396,0.797570,0.0000008962,0.07308226,0.911331,0.0000004201,0.04028042,0.904451,0.0000004308,0.04089972,0.881923,0.0000006486,0.04576318,0.870156,0.0000006044,0.05029741,0.904960,0.0000004802,0.03982199,0.0000007775,0.798456,0.06284726,0.784833,0.0000005462,0.05392551,0.792224,0.0000006144,0.05599036,0.798137,0.0000006269,0.05640116,0.762294,0.0000008673,0.06687069,0.752703,0.0000009663,0.07100458,0.799355,0.0000007622,0.06193716,done
selected,104,3432,thermal_only,0.0017510619,0.979563,5.31157670%,0.0018868529,0.978359,5.56020809,0.0005008978,0.991035,2.81233810,0.994472,0.0005420235,3.20219944,0.986468,0.0012581011,4.42945752,0.986351,0.0013529490,4.52829524,0.973436,0.0020644157,5.96965506,0.974138,0.0022095555,6.16099698,0.973905,0.0021363413,5.97247869,0.991670,0.0001859699,2.12471067,0.992930,0.0003357590,2.49894469,0.993857,0.0003532847,2.43732275,0.988484,0.0005539813,3.00544660,0.990250,0.0005861102,3.00117443,0.989710,0.0005622446,2.90813756,0.0024895763,0.970278,6.78371043,0.992676,0.0007640994,3.74685152,0.980478,0.0017954840,5.56549791,0.981360,0.0017744594,5.46908438,0.965908,0.0025646986,7.00942631,0.965144,0.0028695837,7.43889228,0.962763,0.0028760121,7.44144788,done
selected,104,3432,total,0.0000623818,0.988706,1.30133034%,0.0000663164,0.988124,1.35036741,0.0000275334,0.989241,0.84824190,0.995249,0.0000219721,0.83493061,0.990345,0.0000512248,1.14570389,0.991305,0.0000440512,1.09166002,0.985977,0.0000839488,1.53598791,0.987545,0.0000685317,1.41823604,0.987395,0.0000725401,1.42103288,0.996312,0.0000085513,0.50684858,0.991508,0.0000210345,0.71236900,0.991988,0.0000196263,0.69037068,0.987963,0.0000315991,0.94016508,0.988094,0.0000304363,0.90712577,0.988330,0.0000304329,0.89920253,0.0000793848,0.986040,1.44478296,0.995370,0.0000224537,0.84511654,0.988636,0.0000619735,1.23355056,0.990692,0.0000477075,1.12594754,0.982608,0.0001059729,1.68953772,0.986836,0.0000746085,1.46583292,0.984585,0.0000896016,1.53870699,done
selected,117,3861,epithermal_only,0.0001344250,0.986598,1.76611444%,0.0001435267,0.985849,1.82881294,0.0000503208,0.988016,1.17344306,0.996001,0.0000343840,1.02129937,0.989664,0.0000985533,1.47783509,0.989599,0.0000989031,1.49132930,0.984087,0.0001665723,2.03199511,0.984254,0.0001630678,1.99859243,0.984518,0.0001611942,1.93911206,0.995648,0.0000165327,0.67177113,0.990053,0.0000404587,1.03426970,0.990471,0.0000393942,1.00306904,0.986968,0.0000547800,1.25689780,0.986511,0.0000574464,1.26982510,0.987266,0.0000542735,1.22851314,0.0001977517,0.980644,2.09494872,0.995108,0.0000441718,1.14490125,0.985301,0.0001439494,1.72075050,0.986789,0.0001258620,1.63969941,0.977965,0.0002320296,2.32931604,0.980006,0.0002103084,2.24464783,0.977896,0.0002290723,2.25882991,done
selected,117,3861,fast_only,0.0004426541,0.967880,2.56605901%,0.0004817850,0.966102,2.69695516,0.0000850861,0.982099,1.28497126,0.995368,0.0000527794,1.16968434,0.977730,0.0002954204,2.03478286,0.976863,0.0003033463,2.05567294,0.962311,0.0005544090,3.00567686,0.960587,0.0005695113,3.04386866,0.961646,0.0005589613,2.93089496,0.993589,0.0000227576,0.81570774,0.986551,0.0000604068,1.12558636,0.985769,0.0000627947,1.10313083,0.980635,0.0000939769,1.34800978,0.979127,0.0000986707,1.42673050,0.980373,0.0000946993,1.33541946,0.0006264186,0.954825,3.03093017,0.995519,0.0000552293,1.27861180,0.969961,0.0004033620,2.32675816,0.972460,0.0003520451,2.18251579,0.949459,0.0007227415,3.34720660,0.950102,0.0007092922,3.36419762,0.946332,0.0007503867,3.37019550,done
