n_geometries,n_runs,target,overall_mse,overall_r2,overall_mape,setA_mse,setA_r2,setA_mape,setB_mse,setB_r2,setB_mape,setA_4G_mape,setA_3G1P_mape,setA_3G1B_mape,setA_2G2P_mape,setA_2G2B_mape,setA_2G1P1B_mape,setB_4G_mape,setB_3G1P_mape,setB_3G1B_mape,setB_2G2P_mape,setB_2G2B_mape,setB_2G1P1B_mape,setC_mse,setC_r2,setC_mape,setC_4G_mape,setC_3G1P_mape,setC_3G1B_mape,setC_2G2P_mape,setC_2G2B_mape,setC_2G1P1B_mape,status
65,2145,epithermal_only,0.0001594201,0.984107,1.95617132%,0.0001711413,2.03745074,2.03745074,0.0000522555,1.21304525,1.21304525,1.27425468,1.71251869,1.70997565,2.21613644,2.20424629,2.14577882,0.82384918,1.04511195,1.05422317,1.26504437,1.30650554,1.28166700,0.0002269000,2.38813434,2.38813434,1.42515273,2.05880888,2.00681845,2.55590357,2.53086456,2.55027837,done
65,2145,fast_only,0.0005039100,0.963458,2.88560751%,0.0005475885,3.02902386,3.02902386,0.0001045633,1.57437229,1.57437229,1.47740303,2.36352043,2.37616115,3.35052726,3.35965179,3.27171531,1.14925894,1.31970863,1.36831068,1.65419133,1.66611257,1.67759382,0.0008140585,3.72555554,3.72555554,1.54497816,2.93974923,2.69949489,4.19698457,3.86458568,4.20659610,done
65,2145,keff,0.0000010874,0.725210,0.07401491%,0.0000011024,0.07489724,0.07489724,0.0000009509,0.06594782,0.06594782,0.06047875,0.06898399,0.06852662,0.07731439,0.08288110,0.07499290,0.07712726,0.05778809,0.05826211,0.06427079,0.07921881,0.06450104,0.0000011382,0.07598866,0.07598866,0.06512411,0.06854466,0.06802335,0.07886268,0.08591921,0.07563117,done
65,2145,thermal_only,0.0018445933,0.978444,6.22164756%,0.0019716448,6.46471768,6.46471768,0.0006829795,3.99929226,3.99929226,4.43274744,5.51490478,5.63506397,6.74701769,7.10250378,6.76716100,5.35659354,4.02865167,4.19728750,3.68414189,4.17286753,3.88118650,0.0026790138,8.34553812,8.34553812,6.46962924,7.59429227,7.47598434,8.62258324,9.14401953,8.50488308,done
65,2145,total,0.0000714716,0.987030,1.42587852%,0.0000756665,1.47416079,1.47416079,0.0000331180,0.98444061,0.98444061,0.85900975,1.25157102,1.18647932,1.67313120,1.55851837,1.55384980,0.72359881,0.80443789,0.80423761,1.12289137,1.04703547,1.02572318,0.0001079986,1.72369815,1.72369815,0.94612012,1.38386483,1.43278361,1.78995888,1.93614934,1.85960349,done
78,2574,epithermal_only,0.0001539301,0.984655,1.92812868%,0.0001649332,2.00201967,2.00201967,0.0000533299,1.25255396,1.25255396,1.10459274,1.64986435,1.64486903,2.18931973,2.17646577,2.13236748,0.90272752,1.11045635,1.06616083,1.30077056,1.29990504,1.34341924,0.0002190518,2.31713278,2.31713278,1.37944110,1.99194858,1.93891137,2.49421422,2.46503587,2.46750790,done
78,2574,fast_only,0.0004847696,0.964860,2.84706231%,0.0005268729,2.98789938,2.98789938,0.0000998248,1.55940917,1.55940917,1.35371542,2.31712813,2.32981144,3.29819341,3.32504852,3.24331284,1.27889836,1.38834900,1.40531213,1.65722663,1.59222890,1.62585221,0.0006793001,3.51314155,3.51314155,1.61782646,2.74776592,2.59991028,3.72051991,4.03705575,3.86549508,done
78,2574,keff,0.0000009783,0.752782,0.06927210%,0.0000010059,0.07095443,0.07095443,0.0000007263,0.05389085,0.05389085,0.05850497,0.06555352,0.06462179,0.07416516,0.07931903,0.07011539,0.07273234,0.05135990,0.05161084,0.05353604,0.06325143,0.04942150,0.0000010622,0.07354100,0.07354100,0.06103976,0.06479490,0.06649512,0.07574931,0.08287275,0.07408017,done
78,2574,thermal_only,0.0018264427,0.978682,5.91731908%,0.0019593459,6.17026903,6.17026903,0.0006113276,3.60463386,3.60463386,4.04615344,5.08737214,5.21043061,6.55059604,6.80359731,6.52136277,4.97790508,3.49232385,3.56156814,3.58760618,3.74536000,3.48013727,0.0026405829,7.98606214,7.98606214,5.74119462,6.93682589,6.77207948,8.31124230,8.83012059,8.34353884,done
78,2574,total,0.0000713816,0.987054,1.40685684%,0.0000759357,1.45985034,1.45985034,0.0000297443,0.92234487,0.92234487,0.86205237,1.21876286,1.15623463,1.67822343,1.54216673,1.54088983,0.81121685,0.75254225,0.76669269,1.02553241,0.99938933,0.94997447,0.0001252931,1.91655783,1.91655783,1.08764858,1.74800937,1.27748368,2.45899631,1.62008634,2.13208562,done
91,3003,epithermal_only,0.0001448375,0.985560,1.82328618%,0.0001551744,1.89469940,1.89469940,0.0000503293,1.17036535,1.17036535,1.03779223,1.54079726,1.53919736,2.09125076,2.08101317,2.01114382,0.76354947,1.03882045,1.03786383,1.22615723,1.24268307,1.22822735,0.0002095570,2.15189541,2.15189541,1.10702671,1.73302140,1.76634798,2.38533867,2.36803391,2.28260476,done
91,3003,fast_only,0.0004693248,0.965973,2.73467520%,0.0005090232,2.86856054,2.86856054,0.0001063675,1.51058063,1.51058063,1.31648614,2.19682333,2.22632284,3.18910144,3.20699104,3.10640601,1.07622903,1.25861528,1.29943718,1.65709890,1.61438637,1.57598420,0.0006595309,3.40201755,3.40201755,1.57752868,2.82758219,2.43053554,3.82794698,3.62718289,3.74431848,done
91,3003,keff,0.0000009449,0.761228,0.06848247%,0.0000009833,0.07043555,0.07043555,0.0000005940,0.05062575,0.05062575,0.05265958,0.06562357,0.06196162,0.07493570,0.07837188,0.07012727,0.06763795,0.04761106,0.04695435,0.05195718,0.06030446,0.04593168,0.0000010578,0.07348995,0.07348995,0.05486653,0.06545654,0.06359891,0.07751084,0.08400144,0.07375565,done
91,3003,thermal_only,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,run
91,3003,total,0.0000682853,0.987632,1.36087290%,0.0000727430,1.41551637,1.41551637,0.0000275291,0.86127545,0.86127545,0.80512196,1.16774593,1.11527708,1.61775420,1.50939960,1.50099195,0.49696595,0.69656842,0.65273382,0.98808516,0.94784481,0.90936126,0.0001416345,2.05519788,2.05519788,0.96936068,1.30421750,1.88683824,1.81484278,2.35491793,2.42274714,done
104,3432,epithermal_only,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,run
104,3432,fast_only,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,run
104,3432,keff,0.0000007387,0.813331,0.06054435%,0.0000007527,0.06169454,0.06169454,0.0000006107,0.05002833,0.05002833,0.05123562,0.05694701,0.05638760,0.06541788,0.06863852,0.06058396,0.07354758,0.04789096,0.05126362,0.04808370,0.05638047,0.04616533,0.0000008478,0.06597872,0.06597872,0.05381063,0.05639206,0.06125150,0.06780269,0.07390235,0.06689358,done
104,3432,thermal_only,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,run
104,3432,total,0.0000623818,0.988706,1.30133034%,0.0000663164,1.35036741,1.35036741,0.0000264089,0.85299141,0.85299141,0.83493061,1.14570389,1.09166002,1.53598791,1.41823604,1.42103288,0.49316988,0.69523975,0.66789251,0.96920162,0.89218291,0.91955922,0.0000862367,1.56826003,1.56826003,0.91123220,1.30226998,1.19852993,1.80084949,1.55645399,1.72470806,done
117,3861,epithermal_only,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,run
117,3861,fast_only,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,run
117,3861,keff,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,run
117,3861,thermal_only,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,run
117,3861,total,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,run
130,4290,epithermal_only,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,run
130,4290,fast_only,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,run
130,4290,keff,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,run
130,4290,thermal_only,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,run
130,4290,total,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,run
143,4719,epithermal_only,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,run
143,4719,fast_only,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,run
143,4719,keff,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,run
143,4719,thermal_only,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,run
143,4719,total,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,run
